trial,accuracy
0,0.888135593220339
1,0.8542372881355932
2,0.8847457627118644
3,0.8813559322033898
4,0.9050847457627119
5,0.8813559322033898
6,0.8711864406779661
7,0.8779661016949153
8,0.8779661016949153
9,0.8677966101694915
