model,race,age,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67
Logistic Regression,-0.077534048,-0.068053479,-0.517326111,-0.845223107,-0.533798669,-0.376966145,-0.232410542,-0.364743941,-0.373652532,-0.296005757,-1.241456438,0.113165206,-1.986456984,0.843114379,-1.799225744,0.849291339,-1.093028881,0.566680754,0.214470389,0.438919213,1.458046266,0.569178562,2.028340564,1.061607834,1.993923354,0.995838568,0.922541646,0.255081618,-0.126169486,-0.098345661,-0.11020378,-0.117252122,0.343166667,-0.073685187,0.274428596,-0.442767313,-1.212586423,-0.383469618,-1.375438396,-0.828059898,-0.919503977,-0.939372336,-0.403261448,-0.6183019,-0.24927422,-0.17959701,0.081783901,-0.165283384,0.264828027,-0.526815883,0.916465065,-0.671123862,1.401374647,-0.376174794,1.21881283,0.294302009,0.108369483,-1.659035976,0.015703507,-2.043000233,-0.025755797,-2.418287088,-0.062604289,-2.614737032,-0.86325571,-0.116562335,-0.456708355,-0.261461513,-0.003361683,-0.552154637,0.402417456,-0.248196262,0.756789475,-0.10590764,-1.573345796,0.309250891,-1.199982122,1.493952684,-1.653864056,1.327811391,-0.67739574,-0.680255073,-1.079611625,-0.706423407,-0.877465423,-0.241291683,0.505851162,-0.511873804,1.708527821,1.538266852,1.282475266,1.75291009,1.551506947,0.65758098,0.832681292,-0.039876712,1.053944528,-0.523127454,1.548746058,3.698322846,0.315757443,0.199290134,-0.160045656,-1.277257747,0.011963344,-1.093967211,0.075573579,-1.222691659,-0.282596087,0.229491,-1.333684,3.480598167,-0.541835536,0.324388636,-0.016625566,-1.257648498,0.075172272,-1.470120272,0.101938719,-1.278714697,0.622380657,0.310547799,1.894542179,2.755813234,-0.11346796,0.44546028,0.000186953,0.308725129,0.047013289,0.490243234,-1.605917236,2.67113735,-0.026997551,-2.442809473,0.037109409,-2.576146227,0.051961376,-2.406378943
Ridge Regression,-0.049654581,-0.034312613,0.157632649,-0.952347577,-0.15329051,-0.301710218,-0.093253329,-0.367207199,-0.076272458,-0.433442652,-0.653746784,-0.281584889,-1.132600427,0.348872721,-0.969257355,0.257941127,-0.660021782,0.408192098,0.273565114,0.406863987,1.130465865,0.354423553,1.199304104,0.513609111,1.195418239,0.439631939,0.225712553,-0.237063065,-0.687218964,-0.341152877,-0.438354284,-0.309060156,-0.17872344,-0.217741027,-0.677007079,-0.710230172,-0.023416469,-0.082523905,-0.643980384,-0.202131331,-0.451623648,-0.330797791,-0.1910941,0.031927764,-0.572636425,0.757746279,0.235121146,0.638746738,-0.129605442,-0.054706022,0.373505622,-0.302735895,0.634051204,0.044347357,-0.022022694,0.682820141,0.205729857,-1.319175959,0.055268142,-1.493858099,0.005207905,-1.70063293,-0.068872318,-1.645279884,-1.496398211,0.862551987,-0.782119513,0.902526498,0.048003647,0.655541658,0.798622549,0.875329256,1.368256211,0.809319854,-0.962831676,0.384449244,-0.539672196,1.801881552,-1.353232265,1.745990753,-0.086064041,-0.557321548,-0.555446267,-0.992734551,-0.1228934,-0.443784744,-0.20452942,-0.390799493,1.432905912,1.892256618,0.607154369,1.861790419,0.942616642,0.564804435,0.081297226,-0.452008992,0.583669484,-0.915209591,0.741434693,3.066371202,-0.464875817,-0.415747792,-0.37859565,-1.58633256,0.008097965,-1.393758535,0.129451752,-1.515595078,0.384804934,-0.481738687,-0.59391439,2.507405043,0.11701715,0.458931923,0.155555487,-0.713306129,0.163420901,-0.89367938,0.047879267,-0.713185608,-0.04475772,0.560468316,1.03101635,2.161285877,-0.23408106,-0.192918077,-0.006834466,-0.281767547,0.103496246,-0.128898785,-0.761630058,1.880469918,0.101227544,-1.645099878,0.071411215,-1.692337275,-0.070567578,-1.509897947
