13-4,13-4,9-31,9-31,A/B,A/B,58-52,58-52,67-63,67-63,D/E,D/E
885,-63,210,431,4.214285714285714,-0.14617169373549885,-110,131,-108,32,1.0185185185185186,4.09375
974,132,162,572,6.012345679012346,0.23076923076923078,-129,134,-107,35,1.205607476635514,3.8285714285714287
670,-85,195,320,3.4358974358974357,-0.265625,-62,103,-71,37,0.8732394366197183,2.7837837837837838
818,-55,230,401,3.5565217391304347,-0.1371571072319202,-103,98,-98,2,1.0510204081632653,49.0
835,143,107,378,7.803738317757009,0.3783068783068783,-97,67,-69,-21,1.4057971014492754,-3.1904761904761907
788,48,138,420,5.7101449275362315,0.11428571428571428,-77,129,-67,13,1.1492537313432836,9.923076923076923
846,-37,165,452,5.127272727272727,-0.08185840707964602,-85,164,-77,51,1.103896103896104,3.215686274509804
780,-160,335,393,2.328358208955224,-0.4071246819338422,-41,199,-72,104,0.5694444444444444,1.9134615384615385
678,-50,112,336,6.053571428571429,-0.1488095238095238,-78,106,-66,5,1.1818181818181819,21.2
508,-65,105,239,4.838095238095238,-0.2719665271966527,-52,60,-49,1,1.0612244897959184,60.0
823,-173,216,371,3.810185185185185,-0.46630727762803237,-88,169,-91,43,0.967032967032967,3.9302325581395348
837,-172,222,380,3.77027027027027,-0.45263157894736844,-88,135,-90,21,0.9777777777777777,6.428571428571429
230,-26,62,121,3.7096774193548385,-0.21487603305785125,-29,44,-29,20,1.0,2.2
250,-3,43,137,5.813953488372093,-0.021897810218978103,-29,30,-25,2,1.16,15.0
503,-92,110,314,4.572727272727272,-0.2929936305732484,-52,119,-47,64,1.1063829787234043,1.859375
666,-32,109,330,6.110091743119266,-0.09696969696969697,-73,86,-60,9,1.2166666666666666,9.555555555555555
574,-52,103,318,5.572815533980583,-0.16352201257861634,-61,89,-52,26,1.1730769230769231,3.423076923076923
789,0,127,366,6.21259842519685,0.0,-89,63,-76,-28,1.1710526315789473,-2.25
791,-4,100,317,7.91,-0.012618296529968454,-92,111,-75,22,1.2266666666666666,5.045454545454546
852,50,171,438,4.982456140350878,0.1141552511415525,-119,156,-107,71,1.1121495327102804,2.1971830985915495
813,-12,106,341,7.669811320754717,-0.03519061583577713,-86,99,-73,19,1.178082191780822,5.2105263157894735
837,-9,93,343,9.0,-0.026239067055393587,-99,100,-78,9,1.2692307692307692,11.11111111111111
838,-44,226,411,3.7079646017699117,-0.1070559610705596,-88,153,-90,70,0.9777777777777777,2.1857142857142855
853,-22,88,415,9.693181818181818,-0.05301204819277108,-104,120,-85,30,1.223529411764706,4.0
349,-95,80,127,4.3625,-0.7480314960629921,-33,53,-36,14,0.9166666666666666,3.7857142857142856
381,-86,100,180,3.81,-0.4777777777777778,-21,42,-25,2,0.84,21.0
889,-100,167,466,5.323353293413174,-0.2145922746781116,-95,172,-81,46,1.1728395061728396,3.739130434782609
921,-97,177,471,5.203389830508475,-0.2059447983014862,-103,152,-89,32,1.1573033707865168,4.75
